,country,Region,change_share,hdi_1990_x,HDI_label_x,hdi_1990_y,HDI_label_y
0,Argentina,S. & Cent. America,Decrease,0.723,High,0.723,High
1,Belgium,Europe,Decrease,0.816,Very High,0.816,Very High
2,Brazil,S. & Cent. America,Increase,0.61,Medium,0.61,Medium
3,Bulgaria,Europe,Increase,0.684,Medium,0.684,Medium
4,Canada,North America,Decrease,0.86,Very High,0.86,Very High
5,China,Asia Pacific,Increase,0.484,Low,0.484,Low
6,Finland,Europe,Increase,0.814,Very High,0.814,Very High
7,France,Europe,Increase,0.791,High,0.791,High
8,Germany,Europe,Decrease,0.829,Very High,0.829,Very High
9,Hungary,Europe,Increase,0.72,High,0.72,High
10,India,Asia Pacific,Increase,0.434,Low,0.434,Low
11,Japan,Asia Pacific,Decrease,0.845,Very High,0.845,Very High
12,Mexico,North America,Increase,0.662,Medium,0.662,Medium
13,Netherlands,Europe,Decrease,0.847,Very High,0.847,Very High
14,Pakistan,Asia Pacific,Increase,0.4,Low,0.4,Low
15,Romania,Europe,Increase,0.703,High,0.703,High
16,Russian Federation,CIS,Increase,0.743,High,0.743,High
17,Slovenia,Europe,Decrease,,Very High,,Very High
18,South Africa,Africa,Decrease,0.632,Medium,0.632,Medium
19,Spain,Europe,Decrease,0.757,High,0.757,High
20,Sweden,Europe,Decrease,0.81,Very High,0.81,Very High
21,Switzerland,Europe,Decrease,0.851,Very High,0.851,Very High
22,Ukraine,Europe,Increase,0.729,High,0.729,High
23,United Kingdom,Europe,Decrease,0.804,Very High,0.804,Very High
